Club_ID,Club_Name,Primary language,Address (Street and Number),Zipcode,City,Province,Country,Participation Games 2015,Participation Games 2016,Participation Games 2017,Participation Games 2018,Participation Games 2019,Participation Games 2022,Participation Games 2023,Participation Games 2024,Participation Games 2025
298,CERCLE ADAPTE ANDENNAIS,French,Rue de Velaine 162,5300.0,Andenne,Namur,,,False,False,True,False,,,,1.0
299,A.C.I.S. SOLEIL LEVANT,French,"Rue de Lodelinsart, 97",6061.0,Montignies - sur - Samble,Hainaut,Belgique,,False,True,True,True,1.0,1.0,1.0,1.0
300,LE CHAF ASBL,French,Rue Jules Maltaux 62,6240.0,FARCIENNES,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
302,LE GRIMOIRE,French,Rue du Couvent 50,6890.0,TRANSINNE,Luxembourg,BELGIQUE,1.0,True,True,True,False,,,,
303,LES 3 FÉES,French,"Rue de la Sauveniere,100",4900.0,SPA,Liège,BELGIQUE,,False,False,False,False,,,,
304,LES DRAGONS,French,Rue Bonaert 29,7011.0,GHLIN,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
306,MAISON DES PILIFS,French,"Place Peeter Benoît, 3",1120.0,BRUXELLES,Brussel/Bruxelles,,,True,True,True,True,1.0,1.0,1.0,1.0
307,JOSO ASBL,French,Avenue du Pesage 12,1050.0,IXELLES,Brussel/Bruxelles,,,False,True,True,True,1.0,1.0,1.0,1.0
308,LA CARAVELLE,French,Rue du Canal 17,7640.0,Peronnes - Lez - Antoing,Hainaut,Belgique,,False,True,True,True,,,,
309,LA RENAISSANCE,French,Avenue Maistriau 52,7000.0,Mons,Hainaut,Belgique,,False,False,True,False,,,,
310,VISÉ - CENTRE DE CERFONTAINE,French,Rue Du Long Fossé 166A,4684.0,HACCOURT,Liège,,,False,True,True,True,1.0,1.0,1.0,1.0
311,CHEVAL ET FORET,French,Rue du Rouge-Cloître 5,1160.0,Auderghem,Brussel/Bruxelles,Belgique,,False,False,True,False,,,,
312,FAGN' HANDISPORTS ASBL,French,Winamplanche 6,4900.0,Spa,Liège,Belgique,,False,False,False,False,,,,
314,LIFE BADMINTON LE ROEULX,French,Manoir Saint Jean,7070.0,Le Roeulx,Hainaut,,,False,False,False,False,,,,
315,ECOLE NOS PILIFS,French,Avenue des Pagodes 212,1020.0,Laeken,Brussel/Bruxelles,Belgique,,False,False,False,False,,,,
316,LA CADOLE ASBL,French,Avenue de la Basilique 55,7603.0,Bonsecours,Hainaut,Belgique,,False,False,True,False,1.0,1.0,1.0,1.0
317,CTM - CAROLO TEAM MARCINELLE,French,Rue du Débarcadère 100,6001.0,Marcinelle,Hainaut,Belgique,,False,False,True,True,1.0,1.0,1.0,1.0
318,L'ECHALIER,French,Rue de L'Institut 40,4632.0,Cerexhe - Heuseux,Liège,Belgique,,False,False,False,True,1.0,1.0,1.0,1.0
319,ASBL L'ETOILE FILANTE,French,"Pont- A - La - Faulx, 107",7600.0,Péruwelz,Hainaut,Belgium,,False,False,False,False,,,1.0,
